play_id,qtr,time,posteam,defteam,down,ydstogo,yardline_100,score_differential,play_type,desc,epa,wpa,wp
2806,3,03:38,SEA,NE,1,10,79,12,run,"(3:38) 9-K.Walker up the middle to SEA 19 for -2 yards (33-A.Jennings, 93-L.Taylor).",-0.8834,0.00657,0.8886
2835,3,02:53,SEA,NE,2,12,81,12,pass,(2:53) (Shotgun) 14-S.Darnold pass incomplete short middle to 10-C.Kupp (0-C.Gonzalez).,-0.8149,-0.00713,0.8952
2858,3,02:48,SEA,NE,3,12,81,12,pass,(2:48) (Shotgun) 14-S.Darnold pass short middle to 10-C.Kupp to SEA 27 for 8 yards (21-J.Hawkins).,-0.1091,-0.00534,0.8881
2883,3,02:08,SEA,NE,4,4,73,12,punt,"(2:08) 4-M.Dickson punts 46 yards to NE 27, Center-41-C.Stoll, downed by SEA-28-N.Pritchett.",0.3823,0.00536,0.8827
2907,3,01:55,NE,SEA,1,10,73,-12,run,(1:55) (Shotgun) 32-T.Henderson up the middle to NE 30 for 3 yards (0-D.Lawrence).,-0.2976,0.00911,0.1119
2935,3,01:23,NE,SEA,2,7,70,-12,run,"(1:23) (Shotgun) 10-D.Maye scrambles right tackle pushed ob at NE 35 for 5 yards (13-E.Jones). PENALTY on SEA-21-D.Witherspoon, Defensive Holding, 5 yards, enforced at NE 35.",1.0797,0.01985,0.121
2973,3,00:58,NE,SEA,1,10,60,-12,pass,(:58) 10-D.Maye pass incomplete short right to 85-H.Henry (0-D.Lawrence) [0-D.Lawrence].,-0.4848,-0.0158,0.1409
2996,3,00:52,NE,SEA,2,10,60,-12,pass,(:52) (Shotgun) 10-D.Maye pass short right to 32-T.Henderson pushed ob at NE 44 for 4 yards (3-N.Emmanwori).,-0.4349,-0.00551,0.1251
3021,3,00:16,NE,SEA,3,6,56,-12,pass,"(:16) (Shotgun) 10-D.Maye sacked at NE 37 for -7 yards (58-D.Hall). FUMBLES (58-D.Hall) [58-D.Hall], RECOVERED by SEA-91-B.Murphy at NE 37.",-4.3747,-0.05476,0.1196
3051,3,00:10,SEA,NE,1,10,37,12,pass,(:10) 14-S.Darnold pass short right to 88-A.Barner to NE 26 for 11 yards (33-A.Jennings).,0.8499,0.00771,0.9352
3096,4,15:00,SEA,NE,1,10,26,12,run,(15:00) 9-K.Walker right tackle to NE 25 for 1 yard (51-J.Gibbens).,-0.488,-0.0082,0.9429
3118,4,14:20,SEA,NE,2,9,25,12,pass,(14:20) 14-S.Darnold pass incomplete deep right to 10-C.Kupp (31-C.Woodson).,-0.5925,-0.00718,0.9347
3141,4,14:14,SEA,NE,3,9,25,12,pass,(14:14) (Shotgun) 14-S.Darnold pass short left to 10-C.Kupp to NE 16 for 9 yards (0-C.Gonzalez).,1.6771,0.02173,0.9275
3166,4,13:29,SEA,NE,1,10,16,12,pass,"(13:29) 14-S.Darnold pass deep right to 88-A.Barner for 16 yards, TOUCHDOWN.",2.3584,0.02669,0.9493
3187,4,13:24,SEA,NE,,0,15,18,extra_point,"5-J.Myers extra point is GOOD, Center-41-C.Stoll, Holder-4-M.Dickson.",0.0676,-0.0,0.976
3202,4,13:24,NE,SEA,,0,35,-19,kickoff,"5-J.Myers kicks 65 yards from SEA 35 to end zone, Touchback to the NE 35.",0.503,0.00469,0.024
3226,4,13:24,NE,SEA,1,10,65,-19,run,(13:24) (Shotgun) 10-D.Maye scrambles right end ran ob at NE 41 for 6 yards (42-D.Thomas).,0.3994,-0.00365,0.0287
3253,4,12:56,NE,SEA,2,4,59,-19,pass,(12:56) (Shotgun) 10-D.Maye pass deep middle to 13-M.Hollins to SEA 35 for 24 yards (27-T.Woolen) [53-B.Mafe].,1.5526,0.00424,0.0251
3278,4,12:33,NE,SEA,1,10,35,-19,pass,"(12:33) (No Huddle, Shotgun) 10-D.Maye pass deep left to 13-M.Hollins for 35 yards, TOUCHDOWN.",3.3819,0.01843,0.0293
3299,4,12:27,NE,SEA,,0,15,-13,extra_point,"36-A.Borregales extra point is GOOD, Center-47-J.Ashby, Holder-17-B.Baringer.",0.0676,0.00108,0.0478
3314,4,12:27,SEA,NE,,0,35,12,kickoff,36-A.Borregales kicks 54 yards from NE 35 to SEA 11. 22-R.Shaheed to SEA 31 for 20 yards (49-C.Muma).,0.3341,0.0011,0.9512
3344,4,12:22,SEA,NE,1,10,69,12,pass,(12:22) 14-S.Darnold pass short right to 22-R.Shaheed pushed ob at SEA 42 for 11 yards (0-C.Gonzalez).,0.7502,-0.00071,0.9523
3374,4,11:41,SEA,NE,1,10,58,12,run,(11:41) 9-K.Walker up the middle to SEA 41 for -1 yards (44-K.Chaisson). ** Injury Update: SEA-11-J.Smith-Njigba has returned to the game.,-0.7594,-0.00835,0.9515
3396,4,11:04,SEA,NE,2,11,59,12,pass,(11:04) (Shotgun) 14-S.Darnold pass incomplete short right.,-0.8172,-0.00302,0.9432
3422,4,11:00,SEA,NE,3,11,59,12,pass,(11:00) (Shotgun) 14-S.Darnold pass incomplete deep right to 22-R.Shaheed.,-1.1426,-0.01449,0.9402
3445,4,10:55,SEA,NE,4,11,59,12,punt,"(10:55) 4-M.Dickson punts 55 yards to NE 4, Center-41-C.Stoll, downed by SEA-32-V.Jones.",1.0855,0.02261,0.9257
3465,4,10:40,NE,SEA,1,10,96,-12,pass,(10:40) (Shotgun) 10-D.Maye pass incomplete deep left to 81-A.Hooper.,-0.5416,-0.0112,0.0517
3488,4,10:35,NE,SEA,2,10,96,-12,pass,(10:35) (Shotgun) 10-D.Maye pass short left to 38-R.Stevenson ran ob at NE 17 for 13 yards (29-J.Jobe).,1.3612,0.01646,0.0405
3518,4,10:11,NE,SEA,1,10,83,-12,pass,"(10:11) (No Huddle, Shotgun) 10-D.Maye pass incomplete deep left to 13-M.Hollins (8-C.Bryant).",-0.541,-0.00718,0.057
3541,4,10:02,NE,SEA,2,10,83,-12,pass,(10:02) (Shotgun) 10-D.Maye pass short left to 85-H.Henry to NE 21 for 4 yards (3-N.Emmanwori).,-0.3599,0.00054,0.0498
3566,4,09:35,NE,SEA,3,6,79,-12,run,"(9:35) (No Huddle, Shotgun) 10-D.Maye scrambles up the middle to NE 37 for 16 yards (27-T.Woolen).",2.0696,0.01469,0.0503
3588,4,09:07,NE,SEA,1,10,63,-12,pass,"(9:07) (No Huddle, Shotgun) 10-D.Maye pass short left to 18-K.Williams ran ob at NE 44 for 7 yards (29-J.Jobe).",0.4028,0.00515,0.065
3618,4,08:49,NE,SEA,2,3,56,-12,pass,"(8:49) (No Huddle, Shotgun) 10-D.Maye pass deep middle intended for 18-K.Williams INTERCEPTED by 20-J.Love at SEA 27. 20-J.Love pushed ob at NE 38 for 35 yards (32-T.Henderson).",-5.438,-0.04071,0.0702
3645,4,08:37,SEA,NE,1,10,38,12,run,(8:37) 9-K.Walker right end pushed ob at NE 24 for 14 yards (21-J.Hawkins).,0.9794,0.00061,0.9705
3672,4,07:59,SEA,NE,1,10,24,12,run,(7:59) 9-K.Walker right guard to NE 14 for 10 yards (31-C.Woodson; 21-J.Hawkins).,0.6225,0.01253,0.9712
3694,4,07:11,SEA,NE,1,10,14,12,run,(7:11) 9-K.Walker right end to NE 12 for 2 yards (2-H.Landry).,-0.4537,0.00184,0.9837
3716,4,06:28,SEA,NE,2,8,12,12,run,(6:28) 9-K.Walker right end to NE 11 for 1 yard (7-C.Davis).,-0.5768,0.0024,0.9855
3738,4,05:43,SEA,NE,3,7,11,12,pass,(5:43) (Shotgun) 14-S.Darnold pass short left to 11-J.Smith-Njigba to NE 8 for 3 yards (25-M.Jones).,-0.8039,-0.0039,0.9879
3763,4,05:38,SEA,NE,4,4,8,12,field_goal,"(5:38) 5-J.Myers 26 yard field goal is GOOD, Center-41-C.Stoll, Holder-4-M.Dickson.",0.0839,-0.00919,0.984
3790,4,05:35,NE,SEA,,0,35,-15,kickoff,5-J.Myers kicks 65 yards from SEA 35 to NE 0. 32-T.Henderson ran ob at NE 38 for 38 yards (5-J.Myers).,0.8324,0.00491,0.0252
3830,4,05:29,NE,SEA,1,10,62,-15,pass,(5:29) (Shotgun) 10-D.Maye sacked at NE 34 for -4 yards (91-B.Murphy).,-0.977,-0.00816,0.0301
3850,4,05:04,NE,SEA,2,14,66,-15,pass,"(5:04) (No Huddle, Shotgun) 10-D.Maye pass short right to 38-R.Stevenson ran ob at NE 40 for 6 yards (3-N.Emmanwori; 29-J.Jobe).",-0.0863,-0.00306,0.0219
3885,4,04:57,NE,SEA,3,8,60,-15,pass,(4:57) (Shotgun) 10-D.Maye pass short middle to 85-H.Henry to SEA 44 for 16 yards (13-E.Jones).,2.2641,0.01139,0.0188
